duty	u_cap
9.800000000000000e-01	1.341840e+01
9.810000000000000e-01	1.341850e+01
9.820000000000000e-01	1.341860e+01
9.830000000000000e-01	1.341860e+01
9.840000000000000e-01	1.341860e+01
9.850000000000000e-01	1.341850e+01
9.860000000000000e-01	1.341830e+01
9.870000000000000e-01	1.341790e+01
9.880000000000000e-01	1.341720e+01
9.890000000000000e-01	1.341620e+01
9.900000000000000e-01	1.341470e+01
9.910000000000000e-01	1.341230e+01
9.920000000000000e-01	1.340870e+01
9.930000000000000e-01	1.340330e+01
9.940000000000000e-01	1.339480e+01
9.950000000000000e-01	1.338150e+01
9.960000000000000e-01	1.335950e+01
9.970000000000000e-01	1.332060e+01
9.980000000000000e-01	1.324020e+01
9.990000000000000e-01	1.300760e+01
1.000000000000000e+00	7.438820e+00
9.800000000000000e-01	1.341920e+01
9.810000000000000e-01	1.341930e+01
9.820000000000000e-01	1.341940e+01
9.830000000000000e-01	1.341940e+01
9.840000000000000e-01	1.341940e+01
9.850000000000000e-01	1.341930e+01
9.860000000000000e-01	1.341910e+01
9.870000000000000e-01	1.341870e+01
9.880000000000000e-01	1.341810e+01
9.890000000000000e-01	1.341710e+01
9.900000000000000e-01	1.341560e+01
9.910000000000000e-01	1.341320e+01
9.920000000000000e-01	1.340980e+01
9.930000000000000e-01	1.340440e+01
9.940000000000000e-01	1.339600e+01
9.950000000000000e-01	1.338290e+01
9.960000000000000e-01	1.336140e+01
9.970000000000000e-01	1.332320e+01
9.980000000000000e-01	1.324480e+01
9.990000000000000e-01	1.302030e+01
1.000000000000000e+00	1.103940e+01
9.800000000000000e-01	1.342000e+01
9.810000000000000e-01	1.342010e+01
9.820000000000000e-01	1.342020e+01
9.830000000000000e-01	1.342020e+01
9.840000000000000e-01	1.342020e+01
9.850000000000000e-01	1.342010e+01
9.860000000000000e-01	1.341990e+01
9.870000000000000e-01	1.341950e+01
9.880000000000000e-01	1.341890e+01
9.890000000000000e-01	1.341800e+01
9.900000000000000e-01	1.341650e+01
9.910000000000000e-01	1.341420e+01
9.920000000000000e-01	1.341070e+01
9.930000000000000e-01	1.340550e+01
9.940000000000000e-01	1.339730e+01
9.950000000000000e-01	1.338440e+01
9.960000000000000e-01	1.336330e+01
9.970000000000000e-01	1.332590e+01
9.980000000000000e-01	1.324940e+01
9.990000000000000e-01	1.303270e+01
1.000000000000000e+00	1.165680e+01
9.800000000000000e-01	1.342090e+01
9.810000000000000e-01	1.342100e+01
9.820000000000000e-01	1.342110e+01
9.830000000000000e-01	1.342110e+01
9.840000000000000e-01	1.342110e+01
9.850000000000000e-01	1.342100e+01
9.860000000000000e-01	1.342080e+01
9.870000000000000e-01	1.342040e+01
9.880000000000000e-01	1.341980e+01
9.890000000000000e-01	1.341890e+01
9.900000000000000e-01	1.341740e+01
9.910000000000000e-01	1.341520e+01
9.920000000000000e-01	1.341180e+01
9.930000000000000e-01	1.340660e+01
9.940000000000000e-01	1.339860e+01
9.950000000000000e-01	1.338590e+01
9.960000000000000e-01	1.336520e+01
9.970000000000000e-01	1.332840e+01
9.980000000000000e-01	1.325380e+01
9.990000000000000e-01	1.304460e+01
1.000000000000000e+00	1.177070e+01
9.800000000000000e-01	1.342170e+01
9.810000000000000e-01	1.342180e+01
9.820000000000000e-01	1.342190e+01
9.830000000000000e-01	1.342190e+01
9.840000000000000e-01	1.342190e+01
9.850000000000000e-01	1.342190e+01
9.860000000000000e-01	1.342170e+01
9.870000000000000e-01	1.342130e+01
9.880000000000000e-01	1.342070e+01
9.890000000000000e-01	1.341980e+01
9.900000000000000e-01	1.341830e+01
9.910000000000000e-01	1.341610e+01
9.920000000000000e-01	1.341280e+01
9.930000000000000e-01	1.340770e+01
9.940000000000000e-01	1.339970e+01
9.950000000000000e-01	1.338730e+01
9.960000000000000e-01	1.336690e+01
9.970000000000000e-01	1.333100e+01
9.980000000000000e-01	1.325820e+01
9.990000000000000e-01	1.305620e+01
1.000000000000000e+00	1.183540e+01
