dead	eff	i_max
0.000000000000000e+00	9.460100e-01	1.908710e+00
1.000000000000000e-08	9.460200e-01	1.784000e+00
2.000000000000000e-08	9.460140e-01	1.589690e+00
3.000000000000000e-08	9.460130e-01	1.525390e+00
4.000000000000000e-08	9.460200e-01	1.499660e+00
5.000000000000000e-08	9.460250e-01	1.486720e+00
5.999999999999999e-08	9.460240e-01	1.483850e+00
7.000000000000000e-08	9.460300e-01	1.481750e+00
8.000000000000000e-08	9.460270e-01	1.480400e+00
9.000000000000000e-08	9.460220e-01	1.479450e+00
1.000000000000000e-07	9.460190e-01	1.478740e+00
1.100000000000000e-07	9.460280e-01	1.481150e+00
1.200000000000000e-07	9.460200e-01	1.478580e+00
1.300000000000000e-07	9.460230e-01	1.478240e+00
1.400000000000000e-07	9.460240e-01	1.478050e+00
1.500000000000000e-07	9.460260e-01	1.477470e+00
1.600000000000000e-07	9.460280e-01	1.476980e+00
1.700000000000000e-07	9.460310e-01	1.476980e+00
1.800000000000000e-07	9.460300e-01	1.476960e+00
1.900000000000000e-07	9.460330e-01	1.479290e+00
2.000000000000000e-07	9.460270e-01	1.484160e+00
