time	V(N004,Load)	V(N005,Load)	V(Ubatt,Load)	V(load)	V(n011)	Id(M4)
0.000000000000000e+00	6.580033e-01	6.579922e-01	1.507710e+01	-1.077099e+00	-4.283614e-01	-4.070776e+01
9.999999994736442e-10	6.578934e-01	6.578892e-01	1.507728e+01	-1.077278e+00	-4.283533e-01	-4.075246e+01
2.999999998420932e-09	6.578405e-01	6.578400e-01	1.507737e+01	-1.077367e+00	-4.283449e-01	-4.077483e+01
6.000000003780759e-09	6.578504e-01	6.578500e-01	1.507737e+01	-1.077366e+00	-4.283360e-01	-4.077469e+01
1.000000000167534e-08	6.578592e-01	6.578590e-01	1.507737e+01	-1.077367e+00	-4.283243e-01	-4.077467e+01
1.001591348748221e-08	6.578605e-01	6.578601e-01	1.507737e+01	-1.077366e+00	-4.283247e-01	-4.077458e+01
1.004774045215706e-08	6.578621e-01	6.578617e-01	1.507737e+01	-1.077365e+00	-4.283266e-01	-4.077452e+01
1.011139438844566e-08	6.578637e-01	6.578632e-01	1.507736e+01	-1.077365e+00	-4.283345e-01	-4.077451e+01
1.018744837794072e-08	6.578645e-01	6.578639e-01	1.507736e+01	-1.077365e+00	-4.283498e-01	-4.077451e+01
1.028244660250532e-08	6.578649e-01	6.578643e-01	1.507736e+01	-1.077365e+00	-4.283747e-01	-4.077451e+01
1.039189277685093e-08	6.578652e-01	6.578647e-01	1.507736e+01	-1.077365e+00	-4.284064e-01	-4.077450e+01
1.051494407516840e-08	6.578656e-01	6.578651e-01	1.507736e+01	-1.077365e+00	-4.284417e-01	-4.077449e+01
1.065470209282715e-08	6.578661e-01	6.578655e-01	1.507736e+01	-1.077365e+00	-4.284786e-01	-4.077449e+01
1.083704141008335e-08	6.578667e-01	6.578662e-01	1.507736e+01	-1.077365e+00	-4.285201e-01	-4.077448e+01
1.112577795864267e-08	6.578676e-01	6.578671e-01	1.507736e+01	-1.077365e+00	-4.285746e-01	-4.077447e+01
1.144149175402731e-08	6.578687e-01	6.578682e-01	1.507736e+01	-1.077365e+00	-4.286231e-01	-4.077446e+01
1.181736086069973e-08	6.578701e-01	6.578695e-01	1.507736e+01	-1.077365e+00	-4.286706e-01	-4.077444e+01
1.224385302867059e-08	6.578715e-01	6.578710e-01	1.507736e+01	-1.077365e+00	-4.287177e-01	-4.077442e+01
1.278717959296571e-08	6.578733e-01	6.578728e-01	1.507736e+01	-1.077365e+00	-4.287751e-01	-4.077439e+01
1.344357138111096e-08	6.578755e-01	6.578750e-01	1.507736e+01	-1.077365e+00	-4.288504e-01	-4.077436e+01
1.426778723639943e-08	6.578782e-01	6.578777e-01	1.507736e+01	-1.077364e+00	-4.289701e-01	-4.077433e+01
1.515604175494900e-08	6.578812e-01	6.578807e-01	1.507736e+01	-1.077364e+00	-4.291542e-01	-4.077429e+01
1.600190039502403e-08	6.578841e-01	6.578836e-01	1.507736e+01	-1.077364e+00	-4.294014e-01	-4.077425e+01
1.706949556701254e-08	6.578878e-01	6.578873e-01	1.507736e+01	-1.077364e+00	-4.297809e-01	-4.077420e+01
1.807652431212725e-08	6.578911e-01	6.578906e-01	1.507736e+01	-1.077364e+00	-4.301611e-01	-4.077416e+01
1.881580725254794e-08	6.578936e-01	6.578931e-01	1.507736e+01	-1.077364e+00	-4.304427e-01	-4.077413e+01
2.000000000335067e-08	6.578977e-01	6.578971e-01	1.507736e+01	-1.077364e+00	-4.308921e-01	-4.077407e+01
2.002948949753058e-08	6.578977e-01	6.578972e-01	1.507736e+01	-1.077364e+00	-4.309016e-01	-4.077407e+01
2.008846848589041e-08	6.578979e-01	6.578974e-01	1.507736e+01	-1.077364e+00	-4.309177e-01	-4.077407e+01
2.020642646261006e-08	6.578982e-01	6.578977e-01	1.507736e+01	-1.077364e+00	-4.309393e-01	-4.077406e+01
2.034093337516252e-08	6.578988e-01	6.578983e-01	1.507736e+01	-1.077364e+00	-4.309509e-01	-4.077406e+01
2.046403017874621e-08	6.578992e-01	6.578987e-01	1.507736e+01	-1.077364e+00	-4.309509e-01	-4.077405e+01
2.059382969016310e-08	6.578996e-01	6.578991e-01	1.507736e+01	-1.077364e+00	-4.309430e-01	-4.077405e+01
2.073424860971063e-08	6.579001e-01	6.578996e-01	1.507736e+01	-1.077364e+00	-4.309287e-01	-4.077404e+01
2.089001401028856e-08	6.579006e-01	6.579001e-01	1.507736e+01	-1.077364e+00	-4.309078e-01	-4.077403e+01
2.106979214017146e-08	6.579012e-01	6.579006e-01	1.507736e+01	-1.077364e+00	-4.308792e-01	-4.077402e+01
2.127469166113283e-08	6.579018e-01	6.579013e-01	1.507736e+01	-1.077363e+00	-4.308419e-01	-4.077402e+01
2.152924565707037e-08	6.579027e-01	6.579022e-01	1.507736e+01	-1.077363e+00	-4.307902e-01	-4.077401e+01
2.184159687834697e-08	6.579037e-01	6.579032e-01	1.507736e+01	-1.077363e+00	-4.307193e-01	-4.077399e+01
2.227313241481843e-08	6.579051e-01	6.579046e-01	1.507736e+01	-1.077362e+00	-4.306085e-01	-4.077397e+01
