time	V(N004,Load)	V(Ubatt,Load)	V(load)	V(n011)	Id(M4)
0.000000000000000e+00	1.908646e-01	1.462347e+01	-6.234745e-01	4.989409e-02	-4.103814e-02
9.999999994736442e-10	1.910298e-01	1.462347e+01	-6.234731e-01	4.989409e-02	-4.274892e-02
2.999999998420932e-09	1.911251e-01	1.462347e+01	-6.234721e-01	4.989409e-02	-4.360784e-02
6.000000003780759e-09	1.911420e-01	1.462347e+01	-6.234715e-01	4.989409e-02	-4.360685e-02
1.000000000167534e-08	1.911713e-01	1.462347e+01	-6.234707e-01	4.989409e-02	-4.361338e-02
1.001591350136000e-08	1.911697e-01	1.462347e+01	-6.234707e-01	4.938926e-02	-4.360871e-02
1.004774050766821e-08	1.911676e-01	1.462347e+01	-6.234707e-01	4.792485e-02	-4.360536e-02
1.011139452028464e-08	1.911659e-01	1.462347e+01	-6.234707e-01	4.371729e-02	-4.360390e-02
1.018744855141307e-08	1.911655e-01	1.462347e+01	-6.234707e-01	3.739341e-02	-4.360153e-02
1.028244685924440e-08	1.911659e-01	1.462347e+01	-6.234707e-01	2.861480e-02	-4.359752e-02
1.039189309604005e-08	1.911665e-01	1.462347e+01	-6.234707e-01	1.850584e-02	-4.359231e-02
1.051494452619650e-08	1.911672e-01	1.462347e+01	-6.234707e-01	7.949187e-03	-4.358631e-02
1.065470275896097e-08	1.911680e-01	1.462347e+01	-6.234707e-01	-2.553394e-03	-4.357982e-02
1.083704247867301e-08	1.911690e-01	1.462347e+01	-6.234707e-01	-1.382584e-02	-4.357218e-02
1.112577862477648e-08	1.911706e-01	1.462347e+01	-6.234707e-01	-2.774582e-02	-4.356176e-02
1.144149239934444e-08	1.911724e-01	1.462347e+01	-6.234707e-01	-3.913153e-02	-4.355228e-02
1.181736129785005e-08	1.911744e-01	1.462347e+01	-6.234706e-01	-4.912008e-02	-4.354307e-02
1.224385369480441e-08	1.911768e-01	1.462347e+01	-6.234705e-01	-5.797148e-02	-4.353451e-02
1.278718015501612e-08	1.911799e-01	1.462347e+01	-6.234705e-01	-6.792414e-02	-4.352522e-02
