time	V(N004,Load)	V(Ubatt,Load)	V(load)	V(n011)	Id(M4)
0.000000000000000e+00	6.580207e-01	1.507721e+01	-1.077207e+00	-4.281935e-01	-4.072860e+01
9.999999994736442e-10	6.581178e-01	1.507731e+01	-1.077314e+00	-4.281941e-01	-4.075942e+01
2.999999998420932e-09	6.581736e-01	1.507737e+01	-1.077367e+00	-4.281903e-01	-4.077481e+01
6.000000003780759e-09	6.581836e-01	1.507737e+01	-1.077366e+00	-4.281814e-01	-4.077467e+01
1.000000000167534e-08	6.582005e-01	1.507737e+01	-1.077366e+00	-4.281700e-01	-4.077459e+01
1.001591348054331e-08	6.581996e-01	1.507737e+01	-1.077365e+00	-4.281703e-01	-4.077454e+01
1.004774044521817e-08	6.581985e-01	1.507736e+01	-1.077365e+00	-4.281722e-01	-4.077450e+01
1.011139437456787e-08	6.581976e-01	1.507736e+01	-1.077365e+00	-4.281800e-01	-4.077449e+01
1.018744835712404e-08	6.581974e-01	1.507736e+01	-1.077365e+00	-4.281953e-01	-4.077449e+01
1.028244657474975e-08	6.581978e-01	1.507736e+01	-1.077365e+00	-4.282202e-01	-4.077449e+01
1.039189274909535e-08	6.581981e-01	1.507736e+01	-1.077365e+00	-4.282519e-01	-4.077448e+01
1.051494402659614e-08	6.581985e-01	1.507736e+01	-1.077365e+00	-4.282872e-01	-4.077448e+01
1.065470201649932e-08	6.581989e-01	1.507736e+01	-1.077365e+00	-4.283240e-01	-4.077447e+01
1.083704125742768e-08	6.581995e-01	1.507736e+01	-1.077365e+00	-4.283656e-01	-4.077446e+01
1.112577789619262e-08	6.582005e-01	1.507736e+01	-1.077365e+00	-4.284201e-01	-4.077445e+01
1.144149170545505e-08	6.582016e-01	1.507736e+01	-1.077365e+00	-4.284686e-01	-4.077443e+01
1.181736092314978e-08	6.582028e-01	1.507736e+01	-1.077365e+00	-4.285160e-01	-4.077442e+01
1.224385304948727e-08	6.582043e-01	1.507736e+01	-1.077365e+00	-4.285632e-01	-4.077440e+01
1.278717971092691e-08	6.582061e-01	1.507736e+01	-1.077365e+00	-4.286206e-01	-4.077438e+01
1.344357122845530e-08	6.582082e-01	1.507736e+01	-1.077364e+00	-4.286959e-01	-4.077435e+01
1.426778756252745e-08	6.582109e-01	1.507736e+01	-1.077364e+00	-4.288156e-01	-4.077431e+01
1.515604180352126e-08	6.582139e-01	1.507736e+01	-1.077364e+00	-4.289997e-01	-4.077427e+01
1.600190063094642e-08	6.582167e-01	1.507736e+01	-1.077364e+00	-4.292469e-01	-4.077423e+01
1.706949564334037e-08	6.582204e-01	1.507736e+01	-1.077364e+00	-4.296264e-01	-4.077418e+01
1.807652458274411e-08	6.582237e-01	1.507736e+01	-1.077364e+00	-4.300065e-01	-4.077414e+01
1.881580710683117e-08	6.582261e-01	1.507736e+01	-1.077364e+00	-4.302881e-01	-4.077411e+01
2.000000000335067e-08	6.582301e-01	1.507736e+01	-1.077364e+00	-4.307375e-01	-4.077405e+01
2.002948949059169e-08	6.582302e-01	1.507736e+01	-1.077364e+00	-4.307470e-01	-4.077405e+01
2.008846847201262e-08	6.582304e-01	1.507736e+01	-1.077364e+00	-4.307631e-01	-4.077405e+01
2.020642642791559e-08	6.582307e-01	1.507736e+01	-1.077364e+00	-4.307847e-01	-4.077404e+01
2.034093332659026e-08	6.582312e-01	1.507736e+01	-1.077364e+00	-4.307963e-01	-4.077404e+01
2.046403011629616e-08	6.582316e-01	1.507736e+01	-1.077364e+00	-4.307963e-01	-4.077403e+01
2.059382962077416e-08	6.582320e-01	1.507736e+01	-1.077364e+00	-4.307884e-01	-4.077403e+01
2.073424851256611e-08	6.582325e-01	1.507736e+01	-1.077364e+00	-4.307741e-01	-4.077402e+01
2.089001389232736e-08	6.582329e-01	1.507736e+01	-1.077364e+00	-4.307532e-01	-4.077401e+01
2.106979197363801e-08	6.582336e-01	1.507736e+01	-1.077363e+00	-4.307246e-01	-4.077401e+01
