time	V(N004,Load)	V(N005,Load)	V(Ubatt,Load)	V(load)	V(n011)	Id(M4)
0.000000000000000e+00	7.397354e-03	6.051900e+00	1.461688e+01	-6.168792e-01	-7.292728e-01	-6.338959e-01
2.156198830594036e-10	7.402599e-03	6.051286e+00	1.461877e+01	-6.187664e-01	-7.279758e-01	-6.577256e-01
6.468596491782108e-10	7.406950e-03	6.050043e+00	1.462238e+01	-6.223767e-01	-7.253348e-01	-7.063680e-01
1.338389780947136e-09	7.410288e-03	6.048007e+00	1.462776e+01	-6.277578e-01	-7.209915e-01	-7.860451e-01
2.721450044484985e-09	7.416129e-03	6.043808e+00	1.463731e+01	-6.373078e-01	-7.120563e-01	-9.500024e-01
5.487570564621791e-09	7.426202e-03	6.035174e+00	1.465411e+01	-6.541150e-01	-6.938276e-01	-1.286404e+00
6.616172366913364e-09	7.429719e-03	6.031573e+00	1.466020e+01	-6.602003e-01	-6.863363e-01	-1.426394e+00
7.742796397092189e-09	7.432759e-03	6.027908e+00	1.466559e+01	-6.655884e-01	-6.788867e-01	-1.568445e+00
9.996044457449837e-09	7.438421e-03	6.020510e+00	1.467567e+01	-6.756689e-01	-6.640980e-01	-1.854776e+00
1.000000000167534e-08	7.438481e-03	6.020498e+00	1.467569e+01	-6.756856e-01	-6.640722e-01	-1.855265e+00
1.000791109012633e-08	7.438481e-03	6.020471e+00	1.467572e+01	-6.757182e-01	-6.640210e-01	-1.856269e+00
1.002373326702832e-08	7.438540e-03	6.020418e+00	1.467578e+01	-6.757835e-01	-6.639190e-01	-1.858284e+00
1.005537762083231e-08	7.438600e-03	6.020314e+00	1.467591e+01	-6.759142e-01	-6.637167e-01	-1.862332e+00
1.011866632844027e-08	7.438719e-03	6.020104e+00	1.467618e+01	-6.761752e-01	-6.633181e-01	-1.870437e+00
1.019494135640064e-08	7.438838e-03	6.019851e+00	1.467649e+01	-6.764888e-01	-6.628469e-01	-1.880209e+00
1.029971271465646e-08	7.439137e-03	6.019503e+00	1.467692e+01	-6.769178e-01	-6.622121e-01	-1.893637e+00
1.040601985830003e-08	7.439375e-03	6.019150e+00	1.467735e+01	-6.773509e-01	-6.615785e-01	-1.907267e+00
1.053484530166848e-08	7.439613e-03	6.018721e+00	1.467787e+01	-6.778727e-01	-6.608202e-01	-1.923793e+00
1.067117716413435e-08	7.439911e-03	6.018268e+00	1.467842e+01	-6.784212e-01	-6.600258e-01	-1.941291e+00
1.087807569716270e-08	7.440329e-03	6.017578e+00	1.467925e+01	-6.792462e-01	-6.588327e-01	-1.967867e+00
1.116392620709172e-08	7.440925e-03	6.016625e+00	1.468037e+01	-6.803735e-01	-6.572030e-01	-2.004615e+00
1.149229611474567e-08	7.441700e-03	6.015528e+00	1.468165e+01	-6.816512e-01	-6.553566e-01	-2.046874e+00
1.186800700769819e-08	7.442474e-03	6.014271e+00	1.468309e+01	-6.830897e-01	-6.532794e-01	-2.095283e+00
1.231480262903206e-08	7.443368e-03	6.012773e+00	1.468477e+01	-6.847693e-01	-6.508600e-01	-2.152925e+00
1.286632173025382e-08	7.444441e-03	6.010920e+00	1.468680e+01	-6.867980e-01	-6.479555e-01	-2.224180e+00
1.355224316101911e-08	7.445693e-03	6.008609e+00	1.468926e+01	-6.892574e-01	-6.444855e-01	-2.312937e+00
1.438603389192217e-08	7.447183e-03	6.005792e+00	1.469216e+01	-6.921617e-01	-6.405227e-01	-2.421001e+00
1.528207142775795e-08	7.448733e-03	6.002756e+00	1.469519e+01	-6.951894e-01	-6.366607e-01	-2.537305e+00
1.611181790761584e-08	7.450104e-03	5.999937e+00	1.469791e+01	-6.979076e-01	-6.335825e-01	-2.645147e+00
1.700739386129024e-08	7.451475e-03	5.996887e+00	1.470075e+01	-7.007517e-01	-6.308936e-01	-2.761675e+00
1.803838545200165e-08	7.453084e-03	5.993367e+00	1.470393e+01	-7.039322e-01	-6.285068e-01	-2.895936e+00
1.883813035424842e-08	7.454216e-03	5.990630e+00	1.470633e+01	-7.063261e-01	-6.272279e-01	-3.000154e+00
2.000000000335067e-08	7.455885e-03	5.986647e+00	1.470973e+01	-7.097255e-01	-6.259893e-01	-3.151626e+00
2.002993147731669e-08	7.455945e-03	5.986544e+00	1.470981e+01	-7.098110e-01	-6.259722e-01	-3.155529e+00
2.008979443218761e-08	7.456005e-03	5.986339e+00	1.470998e+01	-7.099819e-01	-6.259353e-01	-3.163335e+00
2.020952034192947e-08	7.456183e-03	5.985927e+00	1.471032e+01	-7.103226e-01	-6.258522e-01	-3.178949e+00
2.034468494366282e-08	7.456362e-03	5.985463e+00	1.471071e+01	-7.107060e-01	-6.257446e-01	-3.196578e+00
2.048152389355629e-08	7.456541e-03	5.984993e+00	1.471109e+01	-7.110927e-01	-6.256219e-01	-3.214425e+00
2.060483210442055e-08	7.456720e-03	5.984569e+00	1.471144e+01	-7.114398e-01	-6.255004e-01	-3.230508e+00
2.075180904198559e-08	7.456958e-03	5.984064e+00	1.471185e+01	-7.118520e-01	-6.253443e-01	-3.249678e+00
2.090284834110889e-08	7.457137e-03	5.983544e+00	1.471227e+01	-7.122737e-01	-6.251723e-01	-3.269379e+00
2.109298598285125e-08	7.457376e-03	5.982890e+00	1.471280e+01	-7.128021e-01	-6.249403e-01	-3.294180e+00
2.129524842575670e-08	7.457614e-03	5.982194e+00	1.471336e+01	-7.133610e-01	-6.246746e-01	-3.320564e+00
2.156433843297778e-08	7.457972e-03	5.981267e+00	1.471410e+01	-7.140996e-01	-6.242911e-01	-3.355664e+00
